,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,914,914 Palisana (A919 NC),08:53*,10:35,12:17,01:45,20:10:33,"+17 23'43""",12.7,2.00,1.42,109.63,138.8,-8.51,20231009
1,1659,1659 Punkaharju (1940 YL),12:36,13:54,15:12,02:36,23:29:59,"+12 55'40""",12.4,2.06,1.10,157.78,126.8,-45.32,20231009
2,602,602 Marianna (A906 DJ),12:36,13:56,15:16,02:39,23:32:31,"+13 12'05""",11.8,2.32,1.36,158.29,126.1,-45.35,20231009
3,429,429 Lotis (A897 WB),13:32,14:15,14:58,01:25,23:51:01,"+08 55'35""",13.0,2.30,1.33,163.72,125.3,-51.10,20231009
4,678,678 Fredegundis (A909 BQ),13:09,14:31,15:53,02:44,00:07:21,"+13 35'21""",11.7,2.06,1.08,165.88,119.3,-47.95,20231009
5,345,345 Tercidina (A892 WB),14:09,15:13,16:18,02:09,00:49:46,"+11 03'47""",11.7,2.26,1.27,174.69,112.0,-51.93,20231009
6,120,120 Lachesis (A872 GB),14:12,15:45,17:19,03:06,01:21:50,"+15 34'52""",12.6,3.27,2.29,168.42,103.0,-46.83,20231009
7,639,639 Latona (A907 OA),13:55,16:00,18:06,04:10,01:37:07,"+23 49'50""",12.4,2.74,1.78,159.52,95.88,-38.05,20231009
8,123,123 Brunhild (A872 OB),14:14,16:15,18:17,04:02,01:52:04,"+22 33'32""",12.5,2.45,1.50,158.52,93.40,-38.40,20231009
9,135,135 Hertha (A874 DA),14:51,16:22,17:52,03:01,01:58:27,"+15 03'57""",10.9,2.11,1.13,162.08,95.30,-45.00,20231009
10,122,122 Gerda (A872 OA),15:20,16:28,17:35,02:14,02:04:17,"+11 24'23""",12.6,3.26,2.30,162.18,95.55,-47.84,20231009
11,509,509 Iolanda (A903 HD),15:10,16:52,18:34,03:24,02:28:42,"+17 25'17""",12.6,2.78,1.84,154.53,87.72,-39.84,20231009
12,127,127 Johanna (A872 VB),15:27,17:00,18:32,03:05,02:36:19,"+15 28'11""",12.7,2.75,1.82,153.52,86.79,-40.63,20231009
13,595,595 Polyxena (A906 FL),15:09,17:06,19:02,03:53,02:42:25,"+21 10'42""",13.0,3.21,2.30,149.99,83.29,-34.98,20231009
14,21,21 Lutetia (A852 VA),16:05,17:22,18:40,02:35,02:59:04,"+12 51'35""",10.6,2.20,1.28,148.80,82.67,-39.70,20231009
15,119,119 Althaea (A872 GA),15:59,17:33,19:07,03:08,03:09:52,"+15 45'21""",12.0,2.38,1.49,145.67,79.18,-35.81,20231009
16,93,93 Minerva (A867 QA),15:27,17:36,19:46,04:19,03:13:14,"+25 23'38""",12.6,2.91,2.06,141.79,75.19,-27.61,20231009
17,241,241 Germania (A884 RA),15:55,18:04,20:13*,04:10,03:40:53,"+25 16'32""",12.5,2.84,2.04,136.03,69.27,-23.85,20231009
18,409,409 Aspasia (A895 XC),15:59,18:07,20:15*,04:05,03:44:08,"+24 47'47""",12.1,2.76,1.96,135.48,68.69,-23.72,20231009
19,139,139 Juewa (A874 TA),15:47,18:08,20:30*,04:18,03:45:08,"+30 33'06""",13.0,2.97,2.20,133.26,67.00,-19.22,20231009
20,144,144 Vibilia (A875 LA),16:46,18:20,19:53,03:06,03:56:40,"+15 35'20""",11.2,2.08,1.25,134.60,68.63,-28.30,20231009
21,182,182 Elsa (A878 CC),16:51,18:36,20:21*,03:13,04:12:58,"+18 02'50""",12.1,1.98,1.18,130.41,64.16,-23.76,20231009
22,481,481 Emita (A902 CB),17:05,18:40,20:15*,02:59,04:17:12,"+15 52'21""",12.6,2.31,1.54,129.66,63.85,-24.42,20231009
23,24,24 Themis (A853 GA),16:45,18:43,20:42*,03:20,04:20:09,"+21 43'14""",12.4,3.12,2.40,128.18,61.53,-20.05,20231009
24,70,70 Panopaea (A861 JA),16:54,18:58,21:02*,03:10,04:35:17,"+23 21'22""",12.8,2.69,2.00,124.46,57.74,-16.34,20231009
25,113,113 Amalthea (A871 EA),17:27,18:59,20:31*,02:37,04:36:15,"+15 18'31""",12.7,2.55,1.84,125.12,59.65,-21.21,20231009
26,346,346 Hermentaria (A892 WC),17:39,19:06,20:33*,02:25,04:43:34,"+14 25'11""",11.7,2.54,1.85,123.41,58.24,-20.34,20231009
27,306,306 Unitas (A891 EA),17:58,19:10,20:22*,02:06,04:47:26,"+12 00'58""",12.9,2.37,1.68,122.52,58.12,-20.99,20231009
28,95,95 Arethusa (A867 WA),17:06,19:14,21:23*,02:59,04:51:30,"+24 58'31""",12.6,2.61,1.96,120.56,53.79,-12.45,20231009
29,480,480 Hansa (A901 KB),17:21,19:25,21:28*,02:44,05:01:47,"+23 17'22""",12.7,2.54,1.91,118.44,51.81,-11.59,20231009
30,485,485 Genua (A902 JC),18:43,19:40,20:36*,01:22,05:16:47,"+10 11'46""",12.4,2.36,1.75,115.30,51.99,-16.00,20231009
31,389,389 Industria (A894 EE),17:41,20:00,22:19*,02:24,05:37:10,"+29 30'13""",12.9,2.70,2.19,109.97,43.18,-1.55,20231009
32,37,37 Fides (A855 TB),18:05,20:18*,22:31*,01:59,05:55:44,"+26 42'38""",11.3,2.18,1.68,106.02,39.24,0.49,20231009
33,704,704 Interamnia (A910 TC),18:04,20:31*,22:58*,02:01,06:08:13,"+33 47'33""",11.4,2.74,2.33,103.13,36.72,6.32,20231009
34,9,9 Metis (A848 HA),18:32,20:35*,22:37*,01:32,06:12:02,"+22 53'29""",10.2,2.10,1.64,102.32,35.94,1.84,20231009
