,index,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,0,602,602 Marianna (A906 DJ),10:52,12:10,13:28,02:36,23:20:33,"+12 58'08""",12.3,2.31,1.50,134.96,89.48,-44.21,20231102
1,1,678,678 Fredegundis (A909 BQ),11:39,12:44,13:49,02:09,23:54:49,"+11 06'17""",12.2,2.03,1.15,142.97,82.92,-49.40,20231102
2,2,120,120 Lachesis (A872 GB),12:27,13:52,15:18,02:51,01:03:20,"+14 10'01""",12.8,3.28,2.33,159.93,66.54,-48.75,20231102
3,3,639,639 Latona (A907 OA),12:09,14:07,16:05,03:56,01:18:08,"+21 36'40""",12.3,2.75,1.79,162.33,60.43,-41.00,20231102
4,4,123,123 Brunhild (A872 OB),12:24,14:20,16:16,03:51,01:30:31,"+20 58'14""",12.3,2.43,1.46,165.24,57.95,-41.16,20231102
5,5,135,135 Hertha (A874 DA),13:04,14:24,15:45,02:41,01:35:23,"+13 20'30""",10.9,2.16,1.18,167.61,59.79,-48.35,20231102
6,6,122,122 Gerda (A872 OA),13:44,14:36,15:27,01:43,01:46:57,"+09 39'54""",12.4,3.25,2.27,169.26,58.83,-51.04,20231102
7,7,509,509 Iolanda (A903 HD),13:37,15:01,16:25,02:47,02:12:06,"+13 48'19""",12.1,2.78,1.79,176.51,51.48,-44.87,20231102
8,8,127,127 Johanna (A872 VB),13:34,15:04,16:34,03:00,02:14:59,"+14 58'25""",12.1,2.74,1.74,177.24,50.37,-43.51,20231102
9,9,343,343 Ostara (A892 VA),13:44,15:06,16:28,02:44,02:16:53,"+13 33'46""",13.0,1.86,0.871,177.56,50.53,-44.57,20231102
10,10,595,595 Polyxena (A906 FL),13:12,15:10,17:08,03:56,02:21:10,"+21 35'10""",12.6,3.22,2.23,172.79,46.61,-36.90,20231102
11,11,21,21 Lutetia (A852 VA),14:18,15:27,16:35,02:17,02:37:50,"+11 35'23""",9.97,2.24,1.24,175.96,46.81,-43.73,20231102
12,12,447,447 Valentine (A899 UD),14:20,15:28,16:35,02:14,02:38:59,"+11 24'57""",12.9,2.85,1.86,175.64,46.64,-43.72,20231102
13,13,93,93 Minerva (A867 QA),13:32,15:42,17:51,04:18,02:52:55,"+25 19'50""",12.1,2.94,1.97,167.47,38.58,-30.18,20231102
14,14,119,119 Althaea (A872 GA),14:21,15:42,17:02,02:40,02:52:53,"+13 16'40""",11.3,2.39,1.40,173.42,42.77,-40.26,20231102
15,15,132,132 Aethra (A873 LA),13:26,15:59,18:32,05:06,03:10:10,"+39 10'01""",12.6,2.51,1.58,153.49,34.14,-16.46,20231102
16,16,241,241 Germania (A884 RA),14:08,16:15,18:22,04:13,03:26:30,"+24 23'04""",12.0,2.86,1.90,162.70,31.39,-26.61,20231102
17,17,139,139 Juewa (A874 TA),13:54,16:17,18:40,04:46,03:28:16,"+31 31'22""",12.4,2.93,1.99,157.82,30.04,-20.71,20231102
18,18,409,409 Aspasia (A895 XC),14:15,16:17,18:20,04:04,03:28:34,"+22 54'22""",11.6,2.76,1.80,163.02,31.32,-27.47,20231102
19,19,154,154 Bertha (A875 VD),14:07,16:22,18:37,04:29,03:33:18,"+27 30'35""",12.8,3.41,2.46,159.68,29.29,-23.22,20231102
20,20,144,144 Vibilia (A875 LA),15:00,16:33,18:06,03:06,03:44:29,"+15 34'31""",10.6,2.11,1.15,161.08,30.62,-30.41,20231102
21,21,895,895 Helio (A918 NA),14:05,16:39,19:13,05:08,03:50:15,"+40 46'08""",12.7,2.79,1.90,147.98,27.04,-10.70,20231102
22,22,363,363 Padua (A893 FD),15:06,16:55,18:44,03:38,04:06:25,"+19 07'10""",12.9,2.62,1.68,155.60,24.35,-24.19,20231102
23,23,182,182 Elsa (A878 CC),15:13,16:56,18:39,03:26,04:07:45,"+17 40'00""",11.4,1.97,1.02,155.42,24.73,-24.94,20231102
24,24,481,481 Emita (A902 CB),15:17,16:56,18:35,03:18,04:07:42,"+16 47'32""",12.0,2.31,1.37,155.48,25.17,-25.53,20231102
25,25,24,24 Themis (A853 GA),15:02,16:59,18:57,03:55,04:10:32,"+21 25'28""",11.9,3.10,2.17,154.28,22.55,-21.91,20231102
26,26,503,503 Evelyn (A903 BL),15:18,17:09,18:59,03:41,04:20:05,"+19 30'28""",12.8,2.40,1.48,152.35,21.29,-21.53,20231102
27,27,70,70 Panopaea (A861 JA),15:04,17:11,19:19,04:14,04:22:36,"+24 36'08""",12.4,2.73,1.82,150.85,18.94,-17.71,20231102
28,28,65,65 Cybele (A861 EB),15:33,17:12,18:52,03:19,04:23:52,"+16 54'08""",12.7,3.82,2.91,151.61,21.81,-22.54,20231102
29,29,113,113 Amalthea (A871 EA),15:49,17:16,18:43,02:53,04:27:17,"+14 23'19""",12.2,2.54,1.63,150.71,22.64,-23.49,20231102
