,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
0,602,602 Marianna (A906 DJ),08:56*,10:18,11:40,01:55,23:30:48,"+13 32'46""",12.9,2.31,1.81,107.94,129.8,-44.86,20231203
1,678,678 Fredegundis (A909 BQ),10:02,10:53,11:44,01:42,00:05:34,"+09 39'20""",12.8,2.01,1.39,114.68,125.7,-51.61,20231203
2,639,639 Latona (A907 OA),10:08,11:54,13:40,03:32,01:06:33,"+18 22'35""",13.0,2.77,2.02,131.36,108.6,-44.50,20231203
3,123,123 Brunhild (A872 OB),10:17,12:02,13:48,03:30,01:15:04,"+18 13'43""",12.9,2.41,1.62,133.29,106.9,-44.45,20231203
4,135,135 Hertha (A874 DA),10:58,12:09,13:19,02:21,01:21:31,"+11 51'59""",11.9,2.23,1.43,133.01,108.6,-50.51,20231203
5,127,127 Johanna (A872 VB),11:12,12:38,14:04,02:52,01:51:05,"+14 14'21""",12.9,2.71,1.88,140.59,101.1,-46.39,20231203
6,509,509 Iolanda (A903 HD),11:52,12:43,13:33,01:40,01:55:33,"+09 32'47""",12.9,2.80,1.97,140.00,102.2,-50.40,20231203
7,21,21 Lutetia (A852 VA),12:00,13:00,14:00,02:00,02:12:57,"+10 34'44""",10.9,2.29,1.42,144.34,97.83,-47.67,20231203
8,93,93 Minerva (A867 QA),11:07,13:12,15:17,04:10,02:25:09,"+23 49'02""",12.5,2.98,2.08,150.28,89.81,-34.49,20231203
9,119,119 Althaea (A872 GA),12:18,13:16,14:14,01:56,02:29:10,"+10 19'24""",12.0,2.41,1.51,147.88,94.28,-45.94,20231203
10,132,132 Aethra (A873 LA),10:58,13:22,15:47,04:49,02:35:20,"+32 19'53""",12.3,2.37,1.46,151.72,84.42,-25.83,20231203
11,139,139 Juewa (A874 TA),11:22,13:43,16:05,04:43,02:56:26,"+30 41'30""",12.4,2.88,1.95,156.48,80.81,-25.18,20231203
12,241,241 Germania (A884 RA),11:49,13:48,15:47,03:58,03:01:08,"+21 56'17""",12.1,2.89,1.95,158.44,82.83,-32.03,20231203
